"No.","Time","Source","Destination","Protocol","Length","Info"
"134","67.920226","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x722d, seq=1407/32517, ttl=60 (request in 133)"
"135","68.921349","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x732d, seq=1408/32773, ttl=64 (reply in 136)"
"136","68.973899","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x732d, seq=1408/32773, ttl=60 (request in 135)"
"137","69.975298","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x742d, seq=1409/33029, ttl=64 (reply in 138)"
"138","70.030132","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x742d, seq=1409/33029, ttl=60 (request in 137)"
"139","71.030694","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x752d, seq=1410/33285, ttl=64 (reply in 140)"
"140","71.093910","192.168.5.2","192.168.1.2","ICMP","98","Echo (ping) reply    id=0x752d, seq=1410/33285, ttl=60 (request in 139)"
"141","71.534738","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"142","72.095294","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x762d, seq=1411/33541, ttl=64 (no response found!)"
"143","72.096857","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"144","73.097995","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x772d, seq=1412/33797, ttl=64 (no response found!)"
"145","73.103999","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"146","74.106061","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x782d, seq=1413/34053, ttl=64 (no response found!)"
"147","74.112927","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"148","75.114076","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x792d, seq=1414/34309, ttl=64 (no response found!)"
"149","75.116108","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"150","76.116910","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x7a2d, seq=1415/34565, ttl=64 (no response found!)"
"151","76.120821","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"152","76.503900","ca:01:38:f4:00:00","ca:01:38:f4:00:00","LOOP","60","Reply"
"153","77.122228","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x7b2d, seq=1416/34821, ttl=64 (no response found!)"
"154","77.125065","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"155","78.126403","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x7c2d, seq=1417/35077, ttl=64 (no response found!)"
"156","78.127861","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"157","79.129597","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x7d2d, seq=1418/35333, ttl=64 (no response found!)"
"158","79.131030","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"159","80.132948","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x7e2d, seq=1419/35589, ttl=64 (no response found!)"
"160","80.142617","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"161","80.585041","192.168.1.1","224.0.0.5","OSPF","90","Hello Packet"
"162","81.142927","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x7f2d, seq=1420/35845, ttl=64 (no response found!)"
"163","81.152984","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"164","82.153984","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x802d, seq=1421/36101, ttl=64 (no response found!)"
"165","82.155908","192.168.1.1","192.168.1.2","ICMP","70","Destination unreachable (Host unreachable)"
"166","83.157011","192.168.1.2","192.168.5.2","ICMP","98","Echo (ping) request  id=0x812d, seq=1422/36357, ttl=64 (no response found!)"
